,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of women executive board members,% women over total executive board members,Total numberof proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members ,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,% women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Aedas Homes,9,1,0.111111111111111,1,0,0,3,0,0,5,1,0.2,0,0,0,8,4,0.5
1,Alantra,9,1,0.111111111111111,1,0,0,3,0,0,3,1,0.333333333333333,2,0,0,4,1,0.25
2,Almirall,11,2,0.181818181818182,1,0,0,3,0,0,6,2,0.333333333333333,1,0,0,8,1,0.125
3,AmRest,7,0,0,1,0,0,4,0,0,2,0,0,0,0,0,8,2,0.25
4,Applus+,7,1,0.142857142857143,1,0,0,,0,0,6,1,0.166666666666667,0,0,0,19,3,0.157894736842105
5,Atresmedia,12,4,0.333333333333333,2,0,0,5,0,0,4,4,1,1,0,0,10,1,0.1
6,BME,11,3,0.272727272727273,3,0,0,2,0,0,6,3,0.5,0,0,0,9,2,0.222222222222222
7,Cementos Molins,14,4,0.285714285714286,1,0,0,8,2,0.25,4,2,0.5,1,0,0,10,1,0.1
8,Logista Holdings,10,1,0.1,2,0,0,4,0,0,4,1,0.25,0,0,0,11,2,0.181818181818182
9,CAF,10,3,0.3,2,1,0.5,1,0,0,5,2,0.4,2,0,0,10,1,0.1
10,Corporacion Financiera Alba,12,3,0.25,5,0,0,1,0,0,6,3,0.5,0,0,0,5,0,0
11,Ebro Foods,13,5,0.384615384615385,2,0,0,7,3,0.428571428571429,4,2,0.5,0,0,0,10,3,0.3
12,Elecnor,15,2,0.133333333333333,1,0,0,10,0,0,3,2,0.666666666666667,1,0,0,3,0,0
13,Euskaltel,12,3,0.25,2,0,0,4,1,0.25,6,2,0.333333333333333,0,0,0,14,2,0.142857142857143
14,Faes Farma,9,2,0.222222222222222,1,0,0,4,1,0.25,3,1,0.333333333333333,1,0,0,16,4,0.25
15,Fluidra,12,0,0,2,0,0,6,0,0,4,0,0,0,0,0,7,0,0
16,Gestamp Automocion,12,1,0.0833333333333333,2,0,0,3,0,0,5,1,0.2,2,0,0,9,0,0
17,Dominion Global,12,2,0.166666666666667,2,0,0,6,1,0.166666666666667,4,1,0.25,0,0,0,9,2,0.222222222222222
18,Grupo Catalana Occidente,16,1,0.0625,4,0,0,10,1,0.1,2,0,0,0,0,0,6,0,0
19,Hispania Activos Inmobiliarios,7,2,0.285714285714286,0,0,0,5,1,0.2,2,1,0.5,0,0,0,0,0,0
20,Laboratorios Farmaceuticos Rovi,7,0,0,3,0,0,1,0,0,3,0,0,0,0,0,11,4,0.363636363636364
21,Lar España,7,2,0.285714285714286,0,0,0,2,0,0,5,2,0.4,0,0,0,4,1,0.25
22,Liberbank,11,3,0.272727272727273,1,0,0,6,1,0.166666666666667,4,2,0.5,0,0,0,10,1,0.1
23,Masmovil Ibercom,12,2,0.166666666666667,1,0,0,7,1,0.142857142857143,4,1,0.25,0,0,0,13,1,0.0769230769230769
24,Metrovacesa,12,3,0.25,1,0,0,6,1,0.166666666666667,4,2,0.5,1,0,0,8,5,0.625
25,Miquel Y Costas,10,1,0.1,3,0,0,2,1,0.5,2,0,0,3,0,0,6,1,0.166666666666667
26,Neinor Homes,8,1,0.125,1,0,0,2,0,0,3,1,0.333333333333333,2,0,0,8,0,0
27,Nh Hotel Group,10,1,0.1,1,0,0,3,0,0,5,1,0.2,1,0,0,7,2,0.285714285714286
28,Parques Reunidos,10,2,0.2,1,0,0,4,0,0,4,2,0.5,1,0,0,9,3,0.333333333333333
29,Grupo Prisa,13,1,0.0769230769230769,1,0,0,6,0,0,5,1,0.2,1,0,0,10,3,0.3
30,Prosegur Cash,9,3,0.333333333333333,2,0,0,3,1,0.333333333333333,4,2,0.5,0,0,0,12,3,0.25
31,Prosegur,8,2,0.25,1,0,0,2,2,1,3,0,0,2,0,0,8,0,0
32,Realia,7,4,0.571428571428571,1,0,0,4,2,0.5,2,2,1,0,0,0,3,1,0.333333333333333
33,Sacyr,13,3,0.230769230769231,1,0,0,5,0,0,6,3,0.5,1,0,0,10,0,0
34,Talgo,15,0,0,2,0,0,4,0,0,7,0,0,2,0,0,14,4,0.285714285714286
35,Telepizza,7,0,0,1,0,0,2,0,0,3,0,0,1,0,0,7,2,0.285714285714286
36,Unicaja Banco,12,5,0.416666666666667,2,0,0,5,2,0.4,5,3,0.6,0,0,0,16,1,0.0625
37,Vidrala,10,3,0.3,0,0,0,5,1,0.2,2,1,0.5,3,1,0.333333333333333,13,0,0
