Unnamed: 0,2017 number,2017 %,2018 number,2018 %,2019 number,2019 %,2020 number,2020 %
Total,103,0.2279,110,0.239130434782609,123,0.275167785234899,136,0.3126
Proprietary,19,0.1652,25,0.208333333333333,19,0.172727272727273,23,0.2347
Executive,3,0.0423,4,0.0540540540540541,4,0.0579710144927536,4,0.0606
Independent,77,0.3392,77,0.34070796460177,96,0.412017167381974,105,0.4393
Other,4,0.1026,4,0.1,4,0.114285714285714,4,0.125
Key executive women,62,0.1429,71,0.1599,70,0.15695067264574,73,0.171
