Unnamed: 0,2017 number,2017 %,2018 number,2018 %,2019 number,2019 %,2020 number,2020 %
Total,258,0.189,272,0.199,299,0.231962761830877,331,0.261
Proprietary,72,0.157,73,0.153172866520788,74,0.175771971496437,87,0.2102
Executive,10,0.045,10,0.0430622009569378,11,0.0541871921182266,11,0.055
Independent,163,0.281,178,0.306759098786828,202,0.355008787346221,219,0.39
Other,13,0.122,11,0.0982142857142857,12,0.125,14,0.154
Key executive women,156,0.148,168,0.15819209039548,168,0.160458452722063,179,0.1753
