Unnamed: 0,2017 number,2017 %,2018 number,2018 %,2019 number,2019 %,2020 number,2020 %
Total,74," 15,6%",85,0.169322709163347,81,0.197560975609756,89,0.2198
Proprietary,23,0.132,26,0.143646408839779,27,0.182432432432432,33,0.2157
Executive,5,0.064,5,0.064,5,0.0746268656716418,5,0.0735
Independent,40,0.214,48,0.239795918367347,42,0.259259259259259,42,0.271
Other,6,0.167,6,0.13953488372093,7,0.212121212121212,9,0.3103
Key executive women,34,0.1292,39,0.139784946236559,34,0.142259414225941,38,0.1659
