,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of  women executive board members,% women over total executive board members,Total number of proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,%  women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Acciona,11,3,0.272727272727273,2,0,0,2,0,0,7,3,0.428571428571429,0,0,,31,3,0.0967741935483871
1,Acerinox,12,4,0.333333333333333,1,0,0,3,0,0,8,4,0.5,0,0,,10,0,0
2,Grupo ACS,16,3,0.1875,5,0,0,3,1,0.333333333333333,5,2,0.4,3,0,0,49,5,0.102040816326531
3,Aena,15,5,0.333333333333333,2,0,0,7,3,0.428571428571429,6,2,0.333333333333333,0,0,,10,4,0.4
4,Almirall,11,4,0.363636363636364,0,0,,3,0,0,7,4,0.571428571428571,1,0,0,11,2,0.181818181818182
5,Amadeus,13,3,0.230769230769231,1,0,0,0,0,,9,3,0.333333333333333,3,0,0,13,3,0.230769230769231
6,BBVA,15,5,0.333333333333333,2,0,0,0,0,,10,4,0.4,3,1,0.333333333333333,15,3,0.2
7,Banco Sabadell,15,4,0.266666666666667,4,1,0.25,1,0,0,10,3,0.3,0,0,,10,1,0.1
8,Banco Santander,15,6,0.4,3,1,0.333333333333333,0,0,,10,5,0.5,2,0,0,18,5,0.277777777777778
9,Bankia,13,3,0.230769230769231,3,0,0,0,0,,9,3,0.333333333333333,1,0,0,10,1,0.1
10,Bankinter,11,4,0.363636363636364,2,1,0.5,2,0,0,6,3,0.5,1,0,0,9,3,0.333333333333333
11,Caixabank,14,6,0.428571428571429,1,0,0,7,2,0.285714285714286,6,4,0.666666666666667,0,0,,11,2,0.181818181818182
12,Cellnex Telecom,11,4,0.363636363636364,1,0,0,3,1,0.333333333333333,7,3,0.428571428571429,0,0,,9,1,0.111111111111111
13,CIE Automotive,14,3,0.214285714285714,2,0,0,9,2,0.222222222222222,3,1,0.333333333333333,0,0,,9,4,0.444444444444444
14,Enagas,16,4,0.25,2,0,0,2,0,0,11,4,0.363636363636364,1,0,0,10,3,0.3
15,Endesa,13,4,0.307692307692308,1,0,0,4,1,0.25,8,3,0.375,0,0,,16,2,0.125
16,Ferrovial,12,2,0.166666666666667,2,0,0,2,1,0.5,7,1,0.142857142857143,1,0,0,14,1,0.0714285714285714
17,Grifols,13,4,0.307692307692308,2,0,0,1,0,0,7,4,0.571428571428571,3,0,0,22,2,0.0909090909090909
18,Iberdrola,14,5,0.357142857142857,2,0,0,0,0,,10,4,0.4,2,1,0.5,10,2,0.2
19,Indra,13,5,0.384615384615385,3,1,0.333333333333333,3,0,0,7,4,0.571428571428571,0,0,,15,2,0.133333333333333
20,Inditex,11,4,0.363636363636364,2,0,0,3,1,0.333333333333333,6,3,0.5,0,0,,21,5,0.238095238095238
21,Inmobiliaria Colonial,11,3,0.272727272727273,2,0,0,5,0,0,4,3,0.75,0,0,,4,2,0.5
22,IAG,12,5,0.416666666666667,1,0,0,2,0,0,9,5,0.555555555555556,0,0,,12,2,0.166666666666667
23,Mapfre,15,5,0.333333333333333,5,0,0,3,0,0,7,5,0.714285714285714,0,0,,9,3,0.333333333333333
24,Melia Hotels,11,3,0.272727272727273,1,0,0,4,1,0.25,6,2,0.333333333333333,0,0,,6,1,0.166666666666667
25,Merlin Properties,14,5,0.357142857142857,2,0,0,4,2,0.5,8,3,0.375,0,0,,5,0,0
26,Naturgy,12,3,0.25,1,0,0,6,2,0.333333333333333,5,1,0.2,0,0,,9,0,0
27,Pharma Mar,11,4,0.363636363636364,2,0,0,2,2,1,5,2,0.4,2,0,0,9,4,0.444444444444444
28,Red Electrica,12,6,0.5,1,0,0,3,2,0.666666666666667,7,3,0.428571428571429,1,1,1,2,1,0.5
29,Repsol,15,5,0.333333333333333,1,0,0,2,0,0,9,5,0.555555555555556,3,0,0,9,3,0.333333333333333
30,Siemens Gamesa,10,3,0.3,1,0,0,5,2,0.4,4,1,0.25,0,0,,7,0,0
31,Solaria,6,1,0.166666666666667,2,0,0,1,0,0,2,1,0.5,1,0,0,6,0,0
32,Telefonica,17,5,0.294117647058824,2,0,0,4,0,0,9,5,0.555555555555556,2,0,0,4,1,0.25
33,Viscofan,11,3,0.272727272727273,2,0,0,2,0,0,5,2,0.4,2,1,0.5,22,2,0.0909090909090909
