,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of women executive board members,% women over total executive board members,Total numberof proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members ,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,% women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Adolfo Dominguez,8,4,0.5,2,1,0.5,2,2,1,4,1,0.25,0,0,,7,5,0.714285714285714
1,Airtificial,11,2,0.181818181818182,1,0,0,6,1,0.166666666666667,3,1,0.333333333333333,1,0,0,7,0,0
2,Amper,5,0,0,2,0,0,0,0,,3,0,0,0,0,,0,0,
3,Arima Real Estate,6,0,0,1,0,0,1,0,0,4,0,0,0,0,,0,0,
4,Ayco Grupo Inmobiliario,7,2,0.285714285714286,0,0,,2,0,0,3,1,0.333333333333333,2,1,0.5,1,0,0
5,Azkoyen,8,1,0.125,0,0,,5,1,0.2,3,0,0,0,0,,10,0,0
6,Baron De Ley,8,1,0.125,3,0,0,1,1,1,3,0,0,1,0,0,8,1,0.125
7,Biosearch,5,1,0.2,0,0,,3,0,0,2,1,0.5,0,0,,8,3,0.375
8,Clinica Baviera,7,1,0.142857142857143,1,0,0,4,1,0.25,2,0,0,0,0,,1,0,0
9,Codere,6,0,0,0,0,,4,0,0,2,0,0,0,0,,15,0,0
10,Cevasa,7,2,0.285714285714286,0,0,,4,0,0,2,1,0.5,1,1,1,3,0,0
11,Cleo,5,1,0.2,1,0,0,2,0,0,2,1,0.5,0,0,,3,1,0.333333333333333
12,Deoleo,8,0,0,1,0,0,5,0,0,2,0,0,0,0,,9,4,0.444444444444444
13,DESA,13,1,0.0769230769230769,1,0,0,7,1,0.142857142857143,4,0,0,1,0,0,3,1,0.333333333333333
14,Duro Felguera,6,2,0.333333333333333,1,0,0,0,0,,4,2,0.5,1,0,0,11,2,0.181818181818182
15,Ecolumber,14,1,0.0714285714285714,1,0,0,8,0,0,3,0,0,2,1,0.5,0,0,
16,Ercros,5,2,0.4,1,0,0,0,0,,2,2,1,2,0,0,3,0,0
17,Finanzas E Inversiones Valencianas,4,1,0.25,0,0,,1,1,1,2,0,0,1,0,0,0,0,
18,GAM,6,2,0.333333333333333,1,0,0,2,1,0.5,3,1,0.333333333333333,0,0,,12,2,0.166666666666667
19,Grenergy Renovables,6,2,0.333333333333333,2,0,0,1,0,0,3,2,0.666666666666667,0,0,,4,0,0
20,Grupo San Jose,11,1,0.0909090909090909,3,0,0,1,0,0,6,1,0.166666666666667,1,0,0,9,0,0
21,Grupo Ezentis,10,4,0.4,2,0,0,2,1,0.5,5,3,0.6,1,0,0,4,0,0
22,Iberpapel,8,1,0.125,1,0,0,1,0,0,4,1,0.25,2,0,0,8,0,0
23,Inmobiliaria Del Sur,15,2,0.133333333333333,1,0,0,11,1,0.0909090909090909,3,1,0.333333333333333,0,0,,1,0,0
24,Laboratorio Reig Jofre,8,2,0.25,2,0,0,1,1,1,5,1,0.2,0,0,,3,1,0.333333333333333
25,Libertas 7,7,2,0.285714285714286,1,1,1,3,1,0.333333333333333,2,0,0,1,0,0,4,1,0.25
26,Lingotes Especiales,9,1,0.111111111111111,3,0,0,1,0,0,2,0,0,3,1,0.333333333333333,9,1,0.111111111111111
27,Liwe Española,6,0,0,3,0,0,1,0,0,2,0,0,0,0,,0,0,
28,Minersa,8,2,0.25,1,0,0,5,1,0.2,2,1,0.5,0,0,,0,0,
29,Mobiliaria Monesa,8,0,0,0,0,,6,0,0,2,0,0,0,0,,0,0,
30,Montebalito,7,1,0.142857142857143,1,0,0,3,1,0.333333333333333,2,0,0,1,0,0,0,0,
31,Naturhouse Health,7,1,0.142857142857143,3,1,0.333333333333333,1,0,0,3,0,0,0,0,,8,0,0
32,Nicolas Correa,7,3,0.428571428571429,1,1,1,2,1,0.5,2,0,0,2,1,0.5,0,0,
33,Nextil,7,0,0,2,0,0,3,0,0,2,0,0,0,0,,0,0,
34,Nyesa Valores Corporacion,6,1,0.166666666666667,2,0,0,1,0,0,3,1,0.333333333333333,0,0,,0,0,
35,OHLA,10,3,0.3,1,0,0,4,1,0.25,4,2,0.5,1,0,0,9,0,0
36,Oryzon Genomics,7,2,0.285714285714286,2,1,0.5,1,0,0,4,1,0.25,0,0,,7,2,0.285714285714286
37,Pescanova,4,4,1,0,0,,0,0,,4,4,1,0,0,,3,0,0
38,Prim,7,2,0.285714285714286,1,0,0,2,1,0.5,3,1,0.333333333333333,1,0,0,3,0,0
39,Quabit Inmobiliaria,4,1,0.25,1,0,0,1,0,0,2,1,0.5,0,0,,3,0,0
40,Renta 4 Banco,12,3,0.25,4,0,0,2,0,0,4,3,0.75,2,0,0,1,0,0
41,Renta Corporacion,9,3,0.333333333333333,2,0,0,3,1,0.333333333333333,3,1,0.333333333333333,1,1,1,1,0,0
42,Saint Croix Holding Immobilier,5,2,0.4,1,0,0,2,1,0.5,2,1,0.5,0,0,,0,0,
43,Solarpack,7,3,0.428571428571429,1,0,0,3,1,0.333333333333333,3,2,0.666666666666667,0,0,,12,4,0.333333333333333
44,TRH Jardin Del Mar,5,2,0.4,1,0,0,2,0,0,2,2,1,0,0,,0,0,
45,Tubacex,12,4,0.333333333333333,1,0,0,2,2,1,8,2,0.25,1,0,0,11,0,0
46,Tubos Reunidos,9,2,0.222222222222222,0,0,,6,1,0.166666666666667,2,1,0.5,1,0,,10,1,0.1
47,Uncavasa,7,1,0.142857142857143,1,0,0,4,1,0.25,2,0,0,0,0,,1,0,0
48,Urbar Ingenieros,5,0,0,0,0,,3,0,0,2,0,0,0,0,,3,0,
49,Vertice Trescientos Sesenta Grados,6,1,0.166666666666667,1,0,0,2,0,0,3,1,0.333333333333333,0,0,,0,0,
50,Vocento,10,2,0.2,1,0,0,6,0,0,3,2,0.666666666666667,0,0,,9,1,0.111111111111111
